2025-10-17T22:05:54.000000000Z [inf]  Starting Container
2025-10-17T22:15:59.145985770Z [inf]  10:15:56 PM [express] GET /api/auth/admin-user 304 in 6ms :: {"id":"admin-001","role":"admin","lastNa…
2025-10-17T22:15:59.145992262Z [inf]  ✅ DRIVER SESSION FOUND: {
2025-10-17T22:15:59.145999595Z [inf]    role: 'driver',
2025-10-17T22:15:59.146005953Z [inf]    userId: '34366fd7-7b43-47a2-baae-73fcd1f78d47',
2025-10-17T22:15:59.146012485Z [inf]    lastName: 'OWEN',
2025-10-17T22:15:59.146019102Z [inf]    username: 'KOWEN',
2025-10-17T22:15:59.146025415Z [inf]    firstName: 'KEVIN'
2025-10-17T22:15:59.146032552Z [inf]  }
2025-10-17T22:15:59.146038888Z [inf]  10:15:56 PM [express] GET /api/auth/driver-user 304 in 46ms :: {"id":"34366fd7-7b43-47a2-baae-73fcd1f…
2025-10-17T22:15:59.146045559Z [inf]  10:15:56 PM [express] GET /api/customers 304 in 8ms :: [{"id":"ae3cfa46-a50a-4283-abc8-d612e0a5b4d8",…
2025-10-17T22:15:59.149627312Z [inf]  10:15:56 PM [express] GET /api/drivers/available 304 in 37ms :: [{"id":"6f06b2ff-1dd4-4966-94ff-5c2bf…
2025-10-17T22:15:59.149635606Z [inf]  10:15:56 PM [express] GET /api/locations 304 in 38ms :: [{"id":"66e05793-9c5c-4f3c-a605-45883be55a01"…
2025-10-17T22:15:59.149656772Z [inf]      'x-railway-request-id', 'x-real-ip',
2025-10-17T22:15:59.149674029Z [inf]      'x-request-start'
2025-10-17T22:15:59.149677553Z [inf]    headers: [
2025-10-17T22:15:59.149693785Z [inf]    ],
2025-10-17T22:15:59.149696120Z [inf]      'host',                 'user-agent',
2025-10-17T22:15:59.149703185Z [inf]    bypassToken: '[PROVIDED]'
2025-10-17T22:15:59.149705789Z [inf]      'accept',               'accept-encoding',
2025-10-17T22:15:59.149714713Z [inf]  }
2025-10-17T22:15:59.149725808Z [inf]  🔥 API LOADS ROUTE HIT! This might be intercepting Kevin's request!
2025-10-17T22:15:59.149731543Z [inf]  🔥 API LOADS HANDLER CALLED!
2025-10-17T22:15:59.149737703Z [inf]  🔥 ADMIN SESSION DETECTED
2025-10-17T22:15:59.149744102Z [inf]      'accept-language',      'cookie',
2025-10-17T22:15:59.149746491Z [inf]  🔍 Query parameters: { status: undefined, excludePaid: false }
2025-10-17T22:15:59.149755830Z [inf]      'if-none-match',        'referer',
2025-10-17T22:15:59.149762161Z [inf]      'sec-fetch-dest',       'sec-fetch-mode',
2025-10-17T22:15:59.149766429Z [inf]  🔥 ADMIN MODE: Getting loads with filters
2025-10-17T22:15:59.149770041Z [inf]      'sec-fetch-site',       'x-bypass-token',
2025-10-17T22:15:59.149775830Z [inf]  🔥 ADMIN: Getting all loads (no filters)
2025-10-17T22:15:59.149779453Z [inf]      'x-forwarded-for',      'x-forwarded-host',
2025-10-17T22:15:59.149784608Z [inf]  10:15:56 PM [express] GET /api/dashboard/stats 304 in 18ms :: {"activeLoads":"4","inTransit":"3","del…
2025-10-17T22:15:59.149793194Z [inf]      'x-forwarded-proto',    'x-railway-edge',
2025-10-17T22:15:59.156168206Z [inf]  10:15:56 PM [express] GET /api/invoices 304 in 135ms :: [{"id":"cd96b004-a798-4cee-8575-42922fe1e632"…
2025-10-17T22:15:59.156180302Z [inf]  📋 ADMIN: Returning 9 loads
2025-10-17T22:15:59.156186419Z [inf]  🔒 FINAL SECURITY CHECK: User role="admin", userId="undefined", returning 9 loads
2025-10-17T22:15:59.156191650Z [inf]  🔥 RETURNING: 9 loads
2025-10-17T22:15:59.156196357Z [inf]  10:15:56 PM [express] GET /api/loads 304 in 225ms :: [{"id":"463d0aee-45eb-4860-909b-063ce6fb7d23","n…
2025-10-17T22:16:08.793938302Z [inf]  📄 Processing document for OCR: 477000300.pdf application/pdf 978763
2025-10-17T22:16:08.793948205Z [inf]  📄 Google Cloud Config Check: {
2025-10-17T22:16:08.793954885Z [inf]    hasProjectId: true,
2025-10-17T22:16:08.793961623Z [inf]    hasProcessorId: true,
2025-10-17T22:16:08.793972484Z [inf]    hasCredentials: true,
2025-10-17T22:16:08.793978715Z [inf]    credentialsLength: 2341
2025-10-17T22:16:08.793985177Z [inf]  }
2025-10-17T22:16:08.793991342Z [inf]  🔍 Processing document with Google Document AI...
2025-10-17T22:16:08.793997536Z [inf]     Processor: projects/load-tracker-pro-2025/locations/us/processors/995fb9cb6df9854e
2025-10-17T22:16:08.794004989Z [inf]     MIME type: application/pdf
2025-10-17T22:16:08.794012138Z [inf]     File size: 978763 bytes
2025-10-17T22:16:09.084716112Z [err]  ❌ Google Document AI error: Error: 16 UNAUTHENTICATED: Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2025-10-17T22:16:09.084723575Z [err]      at callErrorFromStatus (/app/node_modules/@grpc/grpc-js/build/src/call.js:32:19)
2025-10-17T22:16:09.084728718Z [err]      at Object.onReceiveStatus (/app/node_modules/@grpc/grpc-js/build/src/client.js:193:76)
2025-10-17T22:16:09.084732837Z [err]      at Object.onReceiveStatus (/app/node_modules/@grpc/grpc-js/build/src/client-interceptors.js:367:141)
2025-10-17T22:16:09.084738012Z [err]      at Object.onReceiveStatus (/app/node_modules/@grpc/grpc-js/build/src/client-interceptors.js:327:181)
2025-10-17T22:16:09.084743644Z [err]      at /app/node_modules/@grpc/grpc-js/build/src/resolving-call.js:135:78
2025-10-17T22:16:09.084748779Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:85:11)
2025-10-17T22:16:09.084754252Z [err]  for call at
2025-10-17T22:16:09.084758909Z [err]      at ServiceClientImpl.makeUnaryRequest (/app/node_modules/@grpc/grpc-js/build/src/client.js:161:32)
2025-10-17T22:16:09.084763906Z [err]      at ServiceClientImpl.<anonymous> (/app/node_modules/@grpc/grpc-js/build/src/make-client.js:105:19)
2025-10-17T22:16:09.084768673Z [err]      at /app/node_modules/@google-cloud/documentai/build/src/v1/document_processor_service_client.js:279:29
2025-10-17T22:16:09.084773979Z [err]      at /app/node_modules/google-gax/build/src/normalCalls/timeout.js:44:16
2025-10-17T22:16:09.084778928Z [err]      at repeat (/app/node_modules/google-gax/build/src/normalCalls/retries.js:114:25)
2025-10-17T22:16:09.084783920Z [err]      at /app/node_modules/google-gax/build/src/normalCalls/retries.js:156:13
2025-10-17T22:16:09.084789388Z [err]      at OngoingCallPromise.call (/app/node_modules/google-gax/build/src/call.js:70:27)
2025-10-17T22:16:09.087712024Z [err]      at NormalApiCaller.call (/app/node_modules/google-gax/build/src/normalCalls/normalApiCaller.js:34:19)
2025-10-17T22:16:09.087725619Z [err]      at /app/node_modules/google-gax/build/src/createApiCall.js:110:30
2025-10-17T22:16:09.087733878Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
2025-10-17T22:16:09.087744100Z [err]    code: 16,
2025-10-17T22:16:09.087751948Z [err]    details: 'Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.',
2025-10-17T22:16:09.087759966Z [err]    metadata: Metadata {
2025-10-17T22:16:09.087767114Z [err]      internalRepr: Map(4) {
2025-10-17T22:16:09.087774881Z [err]        'endpoint-load-metrics-bin' => [Array],
2025-10-17T22:16:09.087781342Z [err]        'grpc-server-stats-bin' => [Array],
2025-10-17T22:16:09.087789254Z [err]        'pc-high-bwd-bin' => [Array],
2025-10-17T22:16:09.087798017Z [err]        'pcx-high-bwd-bin' => [Array]
2025-10-17T22:16:09.087806724Z [err]      },
2025-10-17T22:16:09.087813784Z [err]      opaqueData: Map(0) {},
2025-10-17T22:16:09.087820535Z [err]      options: {}
2025-10-17T22:16:09.087827023Z [err]    },
2025-10-17T22:16:09.087833965Z [err]    note: 'Exception occurred in retry method that was not classified as transient'
2025-10-17T22:16:09.087841400Z [err]  }
2025-10-17T22:16:09.087849275Z [err]  ❌ Error details: {
2025-10-17T22:16:09.087856670Z [err]    "code": 16,
2025-10-17T22:16:09.087863780Z [err]    "details": "Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.",
2025-10-17T22:16:09.087871981Z [err]    "metadata": {
2025-10-17T22:16:09.087878664Z [err]      "endpoint-load-metrics-bin": [
2025-10-17T22:16:09.089831614Z [err]        {
2025-10-17T22:16:09.089937345Z [err]          "type": "Buffer",
2025-10-17T22:16:09.089945722Z [err]          "data": [
2025-10-17T22:16:09.089951455Z [err]            49,
2025-10-17T22:16:09.089956454Z [err]            48,
2025-10-17T22:16:09.089961299Z [err]            25,
2025-10-17T22:16:09.089965811Z [err]            210,
2025-10-17T22:16:09.089970243Z [err]            127,
2025-10-17T22:16:09.089974243Z [err]            27,
2025-10-17T22:16:09.089978411Z [err]            190,
2025-10-17T22:16:09.089982402Z [err]            25,
2025-10-17T22:16:09.089986176Z [err]            64,
2025-10-17T22:16:09.089990775Z [err]            57,
2025-10-17T22:16:09.089994561Z [err]            52,
2025-10-17T22:16:09.089998467Z [err]            86,
2025-10-17T22:16:09.090002315Z [err]            29,
2025-10-17T22:16:09.090006305Z [err]            236,
2025-10-17T22:16:09.090011064Z [err]            9,
2025-10-17T22:16:09.090015024Z [err]            185,
2025-10-17T22:16:09.090018735Z [err]            11,
2025-10-17T22:16:09.090022396Z [err]            64,
2025-10-17T22:16:09.090026131Z [err]            73,
2025-10-17T22:16:09.090030382Z [err]            161,
2025-10-17T22:16:09.090035716Z [err]            227,
2025-10-17T22:16:09.090040284Z [err]            183,
2025-10-17T22:16:09.090044277Z [err]            75,
2025-10-17T22:16:09.091044472Z [err]            143,
2025-10-17T22:16:09.091056057Z [err]            9,
2025-10-17T22:16:09.091065766Z [err]            159,
2025-10-17T22:16:09.091065777Z [err]          ]
2025-10-17T22:16:09.091073819Z [inf]            63
2025-10-17T22:16:09.091074642Z [err]        }
2025-10-17T22:16:09.091081624Z [err]      ],
2025-10-17T22:16:09.091086273Z [err]      "grpc-server-stats-bin": [
2025-10-17T22:16:09.091091970Z [err]        {
2025-10-17T22:16:09.091097094Z [err]          "type": "Buffer",
2025-10-17T22:16:09.094497674Z [err]      ],
2025-10-17T22:16:09.094510052Z [err]      "pcx-high-bwd-bin": [
2025-10-17T22:16:09.094519309Z [err]        {
2025-10-17T22:16:09.094526888Z [err]          "type": "Buffer",
2025-10-17T22:16:09.094527329Z [err]          "data": [
2025-10-17T22:16:09.094535259Z [err]          "data": [
2025-10-17T22:16:09.094535280Z [err]            0,
2025-10-17T22:16:09.094542837Z [err]            0,
2025-10-17T22:16:09.094542891Z [err]            42,
2025-10-17T22:16:09.094549220Z [err]            211,
2025-10-17T22:16:09.094550909Z [err]            2,
2025-10-17T22:16:09.094556823Z [err]            122,
2025-10-17T22:16:09.094558198Z [err]            24,
2025-10-17T22:16:09.094564505Z [err]            173,
2025-10-17T22:16:09.094571328Z [err]            8,
2025-10-17T22:16:09.094578732Z [err]            0,
2025-10-17T22:16:09.094586227Z [err]            0,
2025-10-17T22:16:09.094593708Z [err]            0,
2025-10-17T22:16:09.094596495Z [inf]            6
2025-10-17T22:16:09.094601117Z [inf]            0
2025-10-17T22:16:09.094604371Z [err]          ]
2025-10-17T22:16:09.094608215Z [err]          ]
2025-10-17T22:16:09.094615093Z [err]        }
2025-10-17T22:16:09.094621835Z [err]      ],
2025-10-17T22:16:09.094628754Z [err]      "pc-high-bwd-bin": [
2025-10-17T22:16:09.094635311Z [err]        {
2025-10-17T22:16:09.094643170Z [err]          "type": "Buffer",
2025-10-17T22:16:09.094650694Z [err]          "data": [
2025-10-17T22:16:09.094658383Z [err]            75,
2025-10-17T22:16:09.094665351Z [err]            103,
2025-10-17T22:16:09.094672712Z [err]            73,
2025-10-17T22:16:09.094681504Z [err]            89,
2025-10-17T22:16:09.094688159Z [err]            66,
2025-10-17T22:16:09.094694764Z [inf]            103
2025-10-17T22:16:09.094701791Z [err]          ]
2025-10-17T22:16:09.094708217Z [err]        }
2025-10-17T22:16:09.098780611Z [err]        }
2025-10-17T22:16:09.098786368Z [err]      ]
2025-10-17T22:16:09.098791548Z [err]    },
2025-10-17T22:16:09.098797252Z [err]    "note": "Exception occurred in retry method that was not classified as transient"
2025-10-17T22:16:09.098801690Z [err]  }
2025-10-17T22:16:09.098806618Z [err]  ❌ OCR extraction error: Error: Document AI processing failed: 16 UNAUTHENTICATED: Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2025-10-17T22:16:09.098811472Z [err]      at extractLoadDataFromDocument (file:///app/dist/index.js:2652:11)
2025-10-17T22:16:09.098817878Z [err]      at runNextTicks (node:internal/process/task_queues:65:5)
2025-10-17T22:16:09.098824873Z [err]      at process.processImmediate (node:internal/timers:459:9)
2025-10-17T22:16:09.098830759Z [err]      at async file:///app/dist/index.js:10024:29
2025-10-17T22:16:09.098835188Z [err]  ❌ Error stack: Error: Document AI processing failed: 16 UNAUTHENTICATED: Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project.
2025-10-17T22:16:09.098840308Z [err]      at extractLoadDataFromDocument (file:///app/dist/index.js:2652:11)
2025-10-17T22:16:09.098845143Z [err]      at runNextTicks (node:internal/process/task_queues:65:5)
2025-10-17T22:16:09.098850402Z [err]      at process.processImmediate (node:internal/timers:459:9)
2025-10-17T22:16:09.098854889Z [err]      at async file:///app/dist/index.js:10024:29
2025-10-17T22:16:09.098861048Z [inf]  10:16:09 PM [express] POST /api/ocr/extract 500 in 1820ms :: {"message":"Failed to extract data from …
